source_id	destination	owner	class	dependencies	sanitization	license	redistribution	validation
public-authored:modules/darwin/base.nix	modules/darwin/base.nix	core	darwin	nix-darwin, nixpkgs	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/darwin/desktop.nix	modules/darwin/desktop.nix	core	darwin	nix-darwin, nixpkgs	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-retained:modules/dragonix/default.nix	modules/dragonix/default.nix	core	home-manager	nixpkgs, home-manager	retained reviewed public module	MIT	allowed	flake checks and boundary scan
public-authored:modules/lib/import-tree.nix	modules/lib/import-tree.nix	core	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/lib/package-feature.nix	modules/lib/package-feature.nix	core	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/nixos/base.nix	modules/nixos/base.nix	core	nixos	nixpkgs	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/nixos/desktop.nix	modules/nixos/desktop.nix	core	nixos	nixpkgs	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-retained:modules/profiles/default.nix	modules/profiles/default.nix	core	home-manager	nixpkgs, home-manager	retained reviewed public module	MIT	allowed	flake checks and boundary scan
public-retained:modules/programs/cli/default.nix	modules/programs/cli/default.nix	core	home-manager	nixpkgs, home-manager	retained reviewed public module	MIT	allowed	flake checks and boundary scan
public-retained:modules/programs/cli/development.nix	modules/programs/cli/development.nix	core	home-manager	nixpkgs, home-manager	retained reviewed public module	MIT	allowed	flake checks and boundary scan
public-retained:modules/programs/cli/essentials.nix	modules/programs/cli/essentials.nix	core	home-manager	nixpkgs, home-manager	retained reviewed public module	MIT	allowed	flake checks and boundary scan
public-retained:modules/programs/cli/interactive.nix	modules/programs/cli/interactive.nix	core	home-manager	nixpkgs, home-manager	retained reviewed public module	MIT	allowed	flake checks and boundary scan
public-retained:modules/programs/cli/just/default.nix	modules/programs/cli/just/default.nix	core	home-manager	nixpkgs, home-manager	retained reviewed public module	MIT	allowed	flake checks and boundary scan
public-retained:modules/programs/nix/default.nix	modules/programs/nix/default.nix	core	home-manager	nixpkgs, home-manager	retained reviewed public module	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/activitywatch.nix	modules/programs/public/ai/activitywatch.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/browser-runtime.nix	modules/programs/public/ai/browser-runtime.nix	ai	home-manager	nixpkgs, home-manager	namespaced Chromium runtime; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/telemetry-json.nix	modules/programs/public/ai/telemetry-json.nix	ai	home-manager	nixpkgs, home-manager	portable JSON telemetry tooling; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/claude.nix	modules/programs/public/ai/claude.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/codex.nix	modules/programs/public/ai/codex.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/editor-agent.nix	modules/programs/public/ai/editor-agent.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/gemini.nix	modules/programs/public/ai/gemini.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/json-context.nix	modules/programs/public/ai/json-context.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/llm.nix	modules/programs/public/ai/llm.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/local-inference.nix	modules/programs/public/ai/local-inference.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/markdown-context.nix	modules/programs/public/ai/markdown-context.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/model-context.nix	modules/programs/public/ai/model-context.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/node-ai.nix	modules/programs/public/ai/node-ai.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/ollama.nix	modules/programs/public/ai/ollama.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/opencode.nix	modules/programs/public/ai/opencode.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/pi.nix	modules/programs/public/ai/pi.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/prompt-tools.nix	modules/programs/public/ai/prompt-tools.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/python-ai.nix	modules/programs/public/ai/python-ai.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/shell-agent.nix	modules/programs/public/ai/shell-agent.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/ai/terminal-agent.nix	modules/programs/public/ai/terminal-agent.nix	ai	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/browsing/brave.nix	modules/programs/public/browsing/brave.nix	browsing	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/browsing/browser-devtools.nix	modules/programs/public/browsing/browser-devtools.nix	browsing	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/browsing/browser-presets.nix	modules/programs/public/browsing/browser-presets.nix	browsing	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/browsing/browser-themes.nix	modules/programs/public/browsing/browser-themes.nix	browsing	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/browsing/chromium.nix	modules/programs/public/browsing/chromium.nix	browsing	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/browsing/firefox.nix	modules/programs/public/browsing/firefox.nix	browsing	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/browsing/privacy-settings.nix	modules/programs/public/browsing/privacy-settings.nix	browsing	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/browsing/surfingkeys.nix	modules/programs/public/browsing/surfingkeys.nix	browsing	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/browsing/vivaldi.nix	modules/programs/public/browsing/vivaldi.nix	browsing	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/browsing/web-apps.nix	modules/programs/public/browsing/web-apps.nix	browsing	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/cli/atuin.nix	modules/programs/public/cli/atuin.nix	cli	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/cli/bat.nix	modules/programs/public/cli/bat.nix	cli	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/cli/btop.nix	modules/programs/public/cli/btop.nix	cli	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/cli/curl.nix	modules/programs/public/cli/curl.nix	cli	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/cli/delta-tool.nix	modules/programs/public/cli/delta-tool.nix	cli	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
public-authored:modules/programs/public/cli/difftastic.nix	modules/programs/public/cli/difftastic.nix	cli	home-manager	nixpkgs, home-manager	new opt-in public wrapper; private references excluded	MIT	allowed	flake checks and boundary scan
